Airline,Duration,stops,class,depature time,arrival time,Price,Season,Source_CMN,Source_IST,Source_PAR,Source_ROM,Destination_CMN,Destination_IST,Destination_PAR,Destination_ROM
19,505.0,1,0,2,3,7261.8,0,0,1,0,0,1,0,0,0
17,435.0,1,1,2,5,1638.0,0,0,1,0,0,0,0,0,1
4,375.0,1,1,4,2,2246.79,1,1,0,0,0,0,0,0,1
23,360.0,1,1,4,0,2271.36,2,0,0,0,1,1,0,0,0
23,360.0,1,0,4,0,4804.8,2,0,0,0,1,1,0,0,0
3,530.0,1,1,4,2,1643.46,1,0,0,0,1,1,0,0,0
22,255.0,1,0,4,0,4867.59,0,0,0,0,1,0,0,1,0
21,190.0,0,1,4,4,3357.9,2,0,0,1,0,1,0,0,0
21,290.0,0,1,2,5,3854.76,2,0,1,0,0,1,0,0,0
29,215.0,0,1,4,0,1430.52,1,0,0,1,0,0,1,0,0
6,305.0,1,1,0,2,1485.12,1,0,1,0,0,0,0,1,0
21,290.0,0,1,0,0,5615.61,3,0,1,0,0,1,0,0,0
19,520.0,1,0,4,5,4594.59,2,0,0,1,0,0,1,0,0
23,360.0,1,0,4,0,3647.28,1,0,0,0,1,1,0,0,0
16,380.0,1,0,4,0,4013.1,3,1,0,0,0,0,0,1,0
8,550.0,1,0,4,2,4408.95,0,0,0,1,0,0,0,0,1
16,505.0,1,0,4,2,4013.1,3,1,0,0,0,0,0,1,0
21,190.0,0,0,0,0,7379.19,2,0,0,1,0,1,0,0,0
23,385.0,1,1,0,2,1334.97,1,1,0,0,0,0,0,1,0
23,305.0,1,1,0,5,2298.66,1,1,0,0,0,0,0,1,0
16,335.0,1,0,0,2,5842.2,2,0,0,1,0,0,0,0,1
4,185.0,0,1,4,0,4619.16,0,1,0,0,0,0,0,1,0
7,220.0,0,1,4,4,1228.5,1,0,1,0,0,0,0,1,0
4,185.0,0,1,0,2,2153.97,3,0,0,1,0,1,0,0,0
27,495.0,1,1,4,2,2031.12,1,0,0,0,1,1,0,0,0
6,285.0,1,1,1,4,1015.56,3,0,1,0,0,0,0,0,1
21,185.0,0,0,0,0,7447.44,3,0,0,1,0,1,0,0,0
31,290.0,1,1,0,2,3336.06,0,1,0,0,0,0,0,1,0
21,265.0,0,1,4,0,3690.96,2,1,0,0,0,0,1,0,0
23,470.0,1,1,4,5,909.09,2,1,0,0,0,0,0,1,0
22,425.0,1,0,4,0,5954.13,2,0,0,1,0,0,0,0,1
6,285.0,1,1,1,4,2156.7,3,0,1,0,0,0,0,0,1
7,210.0,0,1,0,2,1607.97,3,0,0,1,0,0,1,0,0
20,210.0,0,1,4,0,2271.36,3,0,0,1,0,0,1,0,0
22,260.0,1,0,0,2,5954.13,2,0,0,1,0,0,0,0,1
23,570.0,1,1,4,0,2129.4,2,0,0,1,0,1,0,0,0
4,210.0,0,1,0,0,2740.92,2,0,0,1,0,0,1,0,0
29,230.0,0,0,4,4,10286.64,2,0,1,0,0,0,0,1,0
21,190.0,0,0,2,5,6934.2,3,0,0,1,0,1,0,0,0
4,555.0,1,0,1,0,6415.5,0,0,0,0,1,1,0,0,0
21,300.0,0,0,0,0,20128.29,0,0,1,0,0,1,0,0,0
4,190.0,0,0,2,5,8976.24,3,0,0,1,0,1,0,0,0
7,215.0,0,1,4,4,1233.96,2,0,1,0,0,0,0,1,0
20,285.0,0,1,3,4,2558.01,3,1,0,0,0,0,1,0,0
4,465.0,1,0,4,0,6006.0,1,1,0,0,0,0,0,0,1
7,215.0,0,1,0,0,2107.56,0,0,1,0,0,0,0,1,0
16,365.0,1,0,4,0,4395.3,3,0,0,1,0,1,0,0,0
4,375.0,1,1,4,2,4340.7,0,1,0,0,0,0,0,0,1
2,390.0,1,1,1,0,1891.89,3,1,0,0,0,0,0,1,0
16,495.0,1,1,1,0,2184.0,3,0,0,0,1,1,0,0,0
7,460.0,1,1,4,0,1629.81,3,0,1,0,0,0,0,1,0
21,265.0,0,1,4,0,4924.92,0,1,0,0,0,0,1,0,0
4,185.0,0,1,4,4,5219.76,0,1,0,0,0,0,0,1,0
0,485.0,1,0,4,2,8356.53,1,0,1,0,0,0,0,0,1
22,255.0,1,0,0,2,4537.26,0,0,0,1,0,0,0,0,1
6,320.0,1,1,0,2,1015.56,1,0,1,0,0,0,0,0,1
19,370.0,1,0,0,5,4572.75,3,0,0,1,0,0,1,0,0
22,330.0,2,0,4,0,11048.31,3,0,0,1,0,0,0,0,1
21,290.0,0,1,2,5,3270.54,0,0,1,0,0,1,0,0,0
8,285.0,1,0,0,5,4411.68,0,0,0,1,0,0,0,0,1
24,505.0,1,1,0,5,1651.65,1,0,0,0,1,0,1,0,0
