Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date,Season
Royal Air Maroc,CMN,PAR,175,0,economy,Afternoon,Evening,1515.15,2024-05-29,Spring
Air France,PAR,ROM,125,0,business,Morning,Morning,3800.16,2024-06-01,Summer
Vueling,ROM,PAR,130,0,economy,Afternoon,Evening,898.17,2024-07-04,Summer
ITA Airways,ROM,CMN,195,0,business,Evening,Night,9789.78,2024-01-12,Winter
Egypt Air,CMN,IST,1270,1,business,Afternoon,Afternoon,8640.45,2024-11-05,Autumn
Lufthansa,CMN,ROM,590,2,economy,Late Night,Afternoon,5214.3,2024-10-19,Autumn
TUI Fly Belgium,CMN,PAR,210,0,economy,Morning,Morning,660.66,2023-12-09,Winter
Egypt Air,IST,ROM,540,1,business,Early Morning,Afternoon,5820.36,2024-04-18,Spring
Turkish Airlines,ROM,CMN,605,1,business,Morning,Night,16734.9,2024-11-05,Autumn
Egypt Air,ROM,CMN,1465,1,business,Afternoon,Afternoon,14146.86,2024-11-05,Autumn
Air Europa,ROM,PAR,345,1,business,Morning,Afternoon,4231.5,2024-09-03,Autumn
Royal Air Maroc,PAR,CMN,250,0,business,Evening,Night,7330.05,2024-03-17,Spring
ITA Airways,PAR,ROM,205,1,business,Morning,Afternoon,5004.09,2023-12-09,Winter
Turkish Airlines,IST,PAR,230,0,business,Afternoon,Afternoon,10537.8,2024-11-05,Autumn
TAROM,IST,ROM,885,1,economy,Night,Afternoon,1747.2,2024-11-05,Autumn
Air Serbia,IST,ROM,460,1,business,Afternoon,Evening,4812.99,2024-03-17,Spring
KLM,IST,PAR,350,1,economy,Evening,Night,3030.3,2024-11-05,Autumn
Lufthansa,ROM,IST,415,1,business,Afternoon,Night,5023.2,2024-09-03,Autumn
Turkish Airlines,CMN,IST,285,0,economy,Evening,Night,3980.34,2024-09-03,Autumn
Air France,CMN,PAR,180,0,economy,Evening,Night,2899.2599999999998,2024-04-18,Spring
Air Serbia,PAR,IST,560,1,business,Morning,Night,3658.2,2024-09-03,Autumn
Turkish Airlines,IST,PAR,220,0,economy,Morning,Morning,2003.82,2024-06-01,Summer
TAP Portugal,ROM,CMN,935,1,business,Night,Morning,2839.2,2024-08-16,Summer
Air Algerie,PAR,IST,570,1,business,Afternoon,Late Night,7054.32,2024-10-19,Autumn
ITA Airways,ROM,IST,155,0,economy,Evening,Night,2811.9,2024-09-03,Autumn
Iberia,CMN,PAR,390,1,business,Afternoon,Night,3819.27,2024-04-18,Spring
Lufthansa,IST,CMN,740,1,economy,Afternoon,Late Night,3194.1,2024-07-04,Summer
Iberia,ROM,CMN,495,1,business,Early Morning,Afternoon,4149.6,2023-12-09,Winter
Egypt Air,CMN,IST,955,1,business,Afternoon,Morning,9647.82,2024-02-10,Winter
Lufthansa,CMN,ROM,590,2,economy,Late Night,Afternoon,3822.0,2024-07-04,Summer
SWISS,ROM,PAR,445,1,business,Afternoon,Night,8198.19,2024-08-16,Summer
Lufthansa,PAR,CMN,950,2,business,Morning,Late Night,5460.0,2024-09-03,Autumn
TAP Portugal,CMN,ROM,365,1,business,Evening,Late Night,4570.0199999999995,2024-04-18,Spring
Pegasus Airlines,CMN,IST,285,0,economy,Late Night,Early Morning,2563.47,2024-08-16,Summer
Turkish Airlines,PAR,IST,220,0,economy,Afternoon,Night,1572.48,2024-05-29,Spring
Air France,ROM,PAR,130,0,economy,Night,Night,1173.9,2024-11-05,Autumn
Tunisair,CMN,IST,445,1,business,Late Night,Morning,6431.88,2024-06-01,Summer
easyJet,PAR,CMN,395,1,economy,Afternoon,Night,1668.03,2024-06-01,Summer
AnadoluJet,IST,PAR,235,0,economy,Afternoon,Afternoon,1485.12,2023-12-09,Winter
Egypt Air,IST,ROM,540,1,business,Early Morning,Afternoon,6057.87,2024-05-29,Spring
Lufthansa,PAR,ROM,365,1,business,Early Morning,Afternoon,6033.3,2024-02-10,Winter
British Airways,CMN,ROM,555,2,business,Afternoon,Night,11048.31,2024-06-01,Summer
Air France,CMN,ROM,380,1,economy,Afternoon,Night,2648.1,2024-06-01,Summer
Air France,CMN,ROM,475,1,economy,Morning,Evening,4201.47,2024-04-18,Spring
Turkish Airlines,IST,PAR,225,0,economy,Evening,Night,1291.29,2024-06-01,Summer
TAP Portugal,CMN,IST,615,2,economy,Morning,Night,4668.3,2024-08-16,Summer
Lufthansa,PAR,ROM,240,1,economy,Early Morning,Morning,1550.64,2024-11-05,Autumn
Egypt Air,CMN,IST,680,1,business,Afternoon,Late Night,8695.05,2024-07-04,Summer
Air France,CMN,ROM,545,1,economy,Morning,Evening,4968.6,2024-10-19,Autumn
Egypt Air,IST,CMN,830,1,economy,Late Night,Afternoon,5765.76,2024-04-18,Spring
TAP Portugal,CMN,ROM,700,1,economy,Morning,Late Night,2784.6,2024-08-16,Summer
KLM,IST,ROM,405,1,economy,Evening,Night,2566.2,2024-10-19,Autumn
Turkish Airlines,IST,PAR,230,0,business,Night,Night,10281.18,2024-01-12,Winter
British Airways,ROM,IST,475,1,business,Afternoon,Late Night,7125.3,2024-03-17,Spring
Iberia,ROM,CMN,505,2,business,Early Morning,Afternoon,6552.0,2024-01-12,Winter
TAP Portugal,ROM,CMN,935,1,business,Night,Morning,2664.48,2024-04-18,Spring
ITA Airways,CMN,ROM,190,0,business,Afternoon,Afternoon,10062.78,2024-02-10,Winter
Transavia France,PAR,CMN,195,0,economy,Afternoon,Afternoon,1064.7,2024-04-18,Spring
Gulf Air,CMN,IST,1200,1,business,Morning,Early Morning,20185.62,2024-10-19,Autumn
Air Serbia,PAR,IST,735,1,business,Night,Morning,3551.73,2024-07-04,Summer
ITA Airways,PAR,ROM,125,0,business,Evening,Night,4605.51,2023-12-09,Winter
Egypt Air,IST,CMN,460,1,business,Early Morning,Afternoon,9019.92,2024-05-29,Spring
Iberia,CMN,PAR,505,1,business,Morning,Evening,3983.07,2024-02-10,Winter
ITA Airways,ROM,PAR,305,1,business,Morning,Afternoon,4687.41,2024-06-01,Summer
Royal Air Maroc,ROM,CMN,255,0,economy,Evening,Night,1588.86,2024-03-17,Spring
Royal Air Maroc,CMN,PAR,335,1,economy,Morning,Afternoon,2186.73,2024-11-05,Autumn
Turkish Airlines,ROM,IST,155,0,business,Morning,Afternoon,10701.6,2024-01-12,Winter
LOT,PAR,IST,520,1,business,Morning,Afternoon,3764.67,2024-05-29,Spring
Air France,PAR,ROM,125,0,business,Evening,Evening,2749.11,2024-05-29,Spring
Air Algerie,PAR,IST,630,1,business,Afternoon,Late Night,7081.62,2024-08-16,Summer
LOT,PAR,IST,520,1,business,Morning,Afternoon,3761.94,2024-04-18,Spring
Air France,ROM,PAR,135,0,business,Early Morning,Morning,2538.9,2024-10-19,Autumn
Transavia,ROM,CMN,405,1,economy,Evening,Night,2669.94,2024-06-01,Summer
KLM,ROM,CMN,540,2,business,Afternoon,Night,9991.8,2024-01-12,Winter
Air Serbia,IST,ROM,295,1,economy,Afternoon,Evening,1274.91,2024-01-12,Winter
LOT,PAR,IST,705,1,economy,Morning,Late Night,1610.7,2024-11-05,Autumn
British Airways,IST,PAR,845,1,business,Night,Morning,4613.7,2024-07-04,Summer
TAP Portugal,ROM,CMN,675,1,business,Early Morning,Afternoon,4804.8,2024-07-04,Summer
Lufthansa,PAR,IST,365,1,business,Afternoon,Night,6825.0,2023-12-09,Winter
Air Algerie,PAR,IST,525,1,business,Evening,Late Night,7081.62,2024-08-16,Summer
Egypt Air,CMN,IST,660,1,economy,Afternoon,Late Night,3879.33,2024-11-05,Autumn
Iberia,CMN,ROM,365,1,business,Afternoon,Evening,4163.25,2024-02-10,Winter
ITA Airways,PAR,ROM,125,0,business,Morning,Afternoon,3816.54,2024-01-12,Winter
ITA Airways,ROM,PAR,130,0,business,Morning,Morning,3939.39,2024-02-10,Winter
Lufthansa,PAR,CMN,655,2,business,Afternoon,Late Night,8080.8,2024-10-19,Autumn
Iberia,PAR,CMN,395,1,economy,Afternoon,Evening,1946.49,2024-03-17,Spring
KLM,CMN,IST,1180,2,business,Evening,Afternoon,7897.89,2023-12-09,Winter
Air France,ROM,CMN,695,1,business,Morning,Night,6415.5,2024-11-05,Autumn
AnadoluJet,ROM,IST,150,0,economy,Afternoon,Evening,663.39,2024-01-12,Winter
Transavia France,IST,PAR,230,0,economy,Morning,Morning,952.77,2024-07-04,Summer
Turkish Airlines,PAR,IST,210,0,business,Evening,Late Night,8506.68,2024-04-18,Spring
Turkish Airlines,PAR,IST,210,0,business,Evening,Late Night,10540.53,2023-12-09,Winter
Turkish Airlines,PAR,IST,220,0,economy,Afternoon,Night,2274.09,2024-09-03,Autumn
Royal Air Maroc,CMN,ROM,470,1,economy,Afternoon,Night,2432.43,2024-01-12,Winter
Air France,ROM,PAR,130,0,economy,Afternoon,Evening,764.4,2024-02-10,Winter
SWISS,ROM,PAR,445,1,business,Afternoon,Night,4870.32,2024-09-03,Autumn
Pegasus Airlines,ROM,IST,150,0,economy,Afternoon,Evening,1348.62,2024-05-29,Spring
Lufthansa,PAR,ROM,230,1,economy,Afternoon,Evening,1853.67,2024-10-19,Autumn
Lufthansa,ROM,PAR,250,1,business,Afternoon,Evening,8353.8,2024-11-05,Autumn
Lufthansa,CMN,IST,1545,1,business,Afternoon,Evening,10087.35,2024-11-05,Autumn
Air France,PAR,ROM,125,0,economy,Evening,Evening,889.98,2024-05-29,Spring
Royal Air Maroc,IST,CMN,350,0,economy,Evening,Night,3265.08,2024-03-17,Spring
Egypt Air,ROM,IST,545,1,business,Afternoon,Late Night,13854.75,2024-10-19,Autumn
Lufthansa,ROM,CMN,570,2,business,Afternoon,Late Night,6879.6,2024-04-18,Spring
KLM,CMN,ROM,685,2,economy,Morning,Night,3879.33,2024-09-03,Autumn
ITA Airways,PAR,ROM,125,0,economy,Morning,Afternoon,1081.08,2024-08-16,Summer
Egypt Air,CMN,ROM,935,1,business,Late Night,Evening,8569.47,2024-08-16,Summer
Transavia France,CMN,PAR,195,0,economy,Evening,Night,846.3,2024-03-17,Spring
Lufthansa,ROM,PAR,260,1,economy,Afternoon,Evening,1801.8,2024-09-03,Autumn
Lufthansa,ROM,CMN,630,1,economy,Afternoon,Late Night,1829.1,2024-05-29,Spring
SAUDIA,CMN,IST,995,1,business,Afternoon,Morning,14815.71,2024-03-17,Spring
Turkish Airlines,PAR,IST,215,0,economy,Morning,Afternoon,1572.48,2024-05-29,Spring
Egypt Air,IST,CMN,645,1,economy,Late Night,Afternoon,3338.79,2024-01-12,Winter
TAP Portugal,CMN,PAR,370,1,economy,Afternoon,Night,2252.25,2023-12-09,Winter
Turkish Airlines,IST,PAR,220,0,economy,Early Morning,Morning,2320.5,2024-10-19,Autumn
Air France,IST,CMN,755,1,economy,Early Morning,Evening,5651.1,2024-07-04,Summer
Emirates,CMN,IST,1300,1,economy,Afternoon,Afternoon,5468.19,2024-07-04,Summer
Turkish Airlines,IST,ROM,160,0,business,Night,Night,11673.48,2024-06-01,Summer
Lufthansa,IST,ROM,390,1,business,Evening,Night,6197.1,2024-09-03,Autumn
TAP Portugal,CMN,ROM,980,1,economy,Evening,Morning,1001.91,2024-04-18,Spring
Royal Air Maroc,CMN,ROM,190,0,economy,Afternoon,Afternoon,1831.83,2024-01-12,Winter
British Airways,IST,ROM,485,1,economy,Afternoon,Night,1556.1,2024-11-05,Autumn
Air Serbia,ROM,IST,415,1,business,Morning,Evening,6306.3,2024-01-12,Winter
Iberia,CMN,ROM,630,1,economy,Afternoon,Late Night,1752.66,2024-11-05,Autumn
Iberia,CMN,ROM,320,1,business,Evening,Late Night,4152.33,2024-05-29,Spring
TAP Portugal,ROM,CMN,595,1,business,Early Morning,Afternoon,4583.67,2024-02-10,Winter
TAP Portugal,ROM,CMN,935,1,business,Night,Morning,2675.4,2024-06-01,Summer
ITA Airways,PAR,ROM,275,1,business,Morning,Afternoon,4894.89,2024-04-18,Spring
Lufthansa,ROM,CMN,570,2,business,Afternoon,Late Night,7780.5,2024-08-16,Summer
Wizz Air Malta,PAR,ROM,125,0,economy,Morning,Morning,936.39,2023-12-09,Winter
TAP Portugal,CMN,ROM,365,1,business,Evening,Late Night,2694.5099999999998,2024-05-29,Spring
Air France,ROM,PAR,130,0,business,Night,Night,2538.9,2024-09-03,Autumn
Transavia France,IST,PAR,230,0,economy,Afternoon,Evening,3134.04,2024-09-03,Autumn
Lufthansa,PAR,CMN,950,2,business,Morning,Late Night,8080.8,2024-10-19,Autumn
Aegean Airlines,ROM,IST,320,1,business,Morning,Evening,8490.3,2024-01-12,Winter
Iberia,CMN,ROM,360,1,economy,Afternoon,Evening,1752.66,2024-11-05,Autumn
Air France,CMN,PAR,185,0,business,Morning,Afternoon,8790.6,2024-10-19,Autumn
TUI Fly Belgium,PAR,CMN,210,0,economy,Evening,Night,2194.92,2024-02-10,Winter
Air France,CMN,IST,1360,1,business,Afternoon,Afternoon,9202.83,2024-08-16,Summer
Turkish Airlines,PAR,IST,210,0,business,Evening,Night,10540.53,2024-01-12,Winter
Air France,CMN,IST,1360,1,economy,Afternoon,Afternoon,2648.1,2024-05-29,Spring
Vueling,PAR,ROM,120,0,economy,Night,Night,644.28,2024-06-01,Summer
Transavia France,PAR,IST,225,0,economy,Evening,Night,1225.77,2024-05-29,Spring
SAUDIA,CMN,IST,995,1,business,Evening,Afternoon,14982.24,2024-07-04,Summer
Lufthansa,CMN,IST,1085,1,economy,Late Night,Night,3854.7599999999998,2024-07-04,Summer
Turkish Airlines,IST,PAR,225,0,economy,Afternoon,Evening,1116.57,2024-02-10,Winter
British Airways,IST,ROM,730,1,business,Morning,Evening,6497.4,2024-02-10,Winter
TAP Portugal,CMN,ROM,435,1,economy,Morning,Evening,2648.1,2024-01-12,Winter
Iberia,CMN,PAR,290,1,business,Afternoon,Evening,3832.92,2024-04-18,Spring
Egypt Air,IST,PAR,485,1,business,Afternoon,Night,12052.95,2024-09-03,Autumn
Iberia,CMN,PAR,395,1,business,Afternoon,Night,3808.35,2024-11-05,Autumn
Air France,ROM,PAR,130,0,business,Afternoon,Afternoon,2538.9,2024-07-04,Summer
Royal Air Maroc,CMN,IST,290,0,economy,Morning,Afternoon,2964.78,2023-12-09,Winter
Turkish Airlines,IST,ROM,155,0,business,Evening,Evening,11880.96,2024-06-01,Summer
Iberia,CMN,ROM,625,1,economy,Afternoon,Late Night,4313.4,2024-08-16,Summer
easyJet,PAR,ROM,115,0,economy,Afternoon,Afternoon,679.77,2024-09-03,Autumn
Air France,PAR,ROM,125,0,business,Morning,Morning,3756.48,2024-01-12,Winter
Tunisair,CMN,ROM,405,1,business,Late Night,Morning,6388.2,2024-01-12,Winter
Iberia,ROM,PAR,130,0,economy,Morning,Afternoon,1362.27,2024-06-01,Summer
British Airways,IST,PAR,575,1,business,Morning,Afternoon,7616.7,2023-12-09,Winter
Turkish Airlines,ROM,CMN,545,1,economy,Morning,Afternoon,2948.4,2024-06-01,Summer
Lufthansa,ROM,IST,415,1,business,Afternoon,Night,6524.7,2024-06-01,Summer
ITA Airways,ROM,IST,150,0,economy,Morning,Afternoon,2293.2,2024-07-04,Summer
Brussels Airlines,PAR,ROM,510,1,business,Morning,Evening,4368.0,2024-09-03,Autumn
AnadoluJet,IST,PAR,215,0,economy,Morning,Morning,2107.56,2024-10-19,Autumn
Turkish Airlines,IST,ROM,160,0,business,Night,Night,13076.7,2024-07-04,Summer
British Airways,IST,ROM,560,1,business,Morning,Afternoon,6115.2,2024-03-17,Spring
British Airways,IST,ROM,515,1,business,Morning,Afternoon,7234.5,2024-10-19,Autumn
ITA Airways,IST,ROM,155,0,economy,Evening,Evening,1430.52,2024-04-18,Spring
KLM,CMN,IST,1120,2,economy,Evening,Afternoon,2481.57,2024-03-17,Spring
Turkish Airlines,PAR,IST,210,0,business,Afternoon,Evening,8506.68,2024-06-01,Summer
Pegasus Airlines,ROM,IST,150,0,economy,Morning,Afternoon,1526.07,2024-08-16,Summer
Vueling,ROM,PAR,130,0,economy,Morning,Morning,614.25,2024-02-10,Winter
Air France,CMN,ROM,380,1,economy,Afternoon,Night,5651.1,2024-08-16,Summer
Transavia France,IST,PAR,230,0,economy,Morning,Morning,889.98,2024-06-01,Summer
Air France,PAR,CMN,190,0,business,Evening,Night,9017.19,2024-02-10,Winter
Pegasus Airlines,IST,PAR,480,1,economy,Early Morning,Afternoon,1487.85,2024-01-12,Winter
ITA Airways,IST,ROM,165,0,economy,Morning,Morning,1708.98,2023-12-09,Winter
Iberia,PAR,CMN,485,1,economy,Morning,Evening,1556.1,2024-01-12,Winter
LOT,PAR,IST,970,1,economy,Evening,Afternoon,1610.7,2024-11-05,Autumn
Pegasus Airlines,IST,CMN,310,0,economy,Evening,Night,1381.3799999999999,2024-10-19,Autumn
Aegean Airlines,IST,ROM,470,1,economy,Morning,Evening,2538.9,2024-06-01,Summer
